subj_code,trial_num,word,color,congruence,orientation,resp,is_correct,RT
stroop_102,1,blue,blue,congruent,upright,b,1,582
stroop_102,2,orange,orange,congruent,upside_down,o,1,713
stroop_102,3,yellow,yellow,congruent,upright,y,1,727
stroop_102,4,yellow,yellow,congruent,upside_down,y,1,730
stroop_102,5,yellow,yellow,congruent,upright,y,1,673
stroop_102,6,yellow,yellow,congruent,upside_down,y,1,670
stroop_102,7,blue,yellow,incongruent,upside_down,o,0,1224
stroop_102,8,red,red,congruent,upside_down,r,1,718
stroop_102,9,blue,blue,congruent,upside_down,b,1,804
stroop_102,10,red,red,congruent,upright,r,1,666
stroop_102,11,blue,blue,congruent,upside_down,b,1,678
stroop_102,12,yellow,blue,incongruent,upright,b,1,1059
stroop_102,13,orange,orange,congruent,upright,o,1,606
stroop_102,14,green,green,congruent,upside_down,g,1,837
stroop_102,15,yellow,yellow,congruent,upright,y,1,835
stroop_102,16,red,red,congruent,upright,r,1,1002
stroop_102,17,red,red,congruent,upside_down,r,1,541
stroop_102,18,red,red,congruent,upside_down,r,1,427
stroop_102,19,orange,orange,congruent,upside_down,o,1,608
stroop_102,20,blue,blue,congruent,upside_down,b,1,675
stroop_102,21,blue,blue,congruent,upright,b,1,536
stroop_102,22,green,yellow,incongruent,upside_down,y,1,1246
stroop_102,23,yellow,blue,incongruent,upside_down,o,0,1493
